week_date,week_number,month_number,calendar_year,region,platform,segment,age_band,demographic,customer_type,transactions,sales,avg_transaction,
31-08-2020,35,8,2020,ASIA,Retail,C3,Retirees,Couples,New,120631,3656163,30.31,
31-08-2020,35,8,2020,ASIA,Retail,F1,Young Adults,Families,New,31574,996575,31.56,
31-08-2020,35,8,2020,USA,Retail,Unknown,Unknown,Unknown,Guest,529151,16509610,31.2,
31-08-2020,35,8,2020,EUROPE,Retail,C1,Young Adults,Couples,New,4517,141942,31.42,
31-08-2020,35,8,2020,AFRICA,Retail,C2,Middle Aged,Couples,New,58046,1758388,30.29,
31-08-2020,35,8,2020,CANADA,Shopify,F2,Middle Aged,Families,Existing,1336,243878,182.54,
31-08-2020,35,8,2020,AFRICA,Shopify,F3,Retirees,Families,Existing,2514,519502,206.64,
31-08-2020,35,8,2020,ASIA,Shopify,F1,Young Adults,Families,Existing,2158,371417,172.11,
31-08-2020,35,8,2020,AFRICA,Shopify,F2,Middle Aged,Families,New,318,49557,155.84,
31-08-2020,35,8,2020,AFRICA,Retail,C3,Retirees,Couples,New,111032,3888162,35.02,
31-08-2020,35,8,2020,USA,Shopify,F1,Young Adults,Families,Existing,1398,260773,186.53,
31-08-2020,35,8,2020,OCEANIA,Shopify,C2,Middle Aged,Couples,Existing,4661,882690,189.38,
31-08-2020,35,8,2020,SOUTH AMERICA,Retail,C2,Middle Aged,Couples,Existing,1029,38762,37.67,
31-08-2020,35,8,2020,SOUTH AMERICA,Shopify,C4,Retirees,Couples,New,6,917,152.83,
31-08-2020,35,8,2020,EUROPE,Shopify,F3,Retirees,Families,Existing,115,35215,306.22,
31-08-2020,35,8,2020,OCEANIA,Retail,F3,Retirees,Families,Existing,551905,30371770,55.03,
31-08-2020,35,8,2020,ASIA,Shopify,C3,Retirees,Couples,Existing,1969,374327,190.11,
31-08-2020,35,8,2020,AFRICA,Retail,F1,Young Adults,Families,Existing,97604,5185233,53.13,
31-08-2020,35,8,2020,OCEANIA,Retail,C2,Middle Aged,Couples,New,111219,2980673,26.8,
31-08-2020,35,8,2020,USA,Retail,F1,Young Adults,Families,New,11820,463738,39.23,
31-08-2020,35,8,2020,SOUTH AMERICA,Retail,F3,Retirees,Families,Existing,1363,65730,48.22,
31-08-2020,35,8,2020,AFRICA,Retail,C3,Retirees,Couples,Existing,284971,14430196,50.64,
31-08-2020,35,8,2020,ASIA,Retail,F2,Middle Aged,Families,New,70496,2176980,30.88,
31-08-2020,35,8,2020,AFRICA,Shopify,F1,Young Adults,Families,Existing,2678,478756,178.77,
31-08-2020,35,8,2020,USA,Shopify,C4,Retirees,Couples,New,22,3319,150.86,
31-08-2020,35,8,2020,CANADA,Retail,F3,Retirees,Families,Existing,94274,5306746,56.29,
31-08-2020,35,8,2020,ASIA,Retail,F1,Young Adults,Families,Existing,94287,4511841,47.85,
31-08-2020,35,8,2020,EUROPE,Retail,Unknown,Unknown,Unknown,New,3064,134249,43.81,
31-08-2020,35,8,2020,EUROPE,Shopify,F1,Young Adults,Families,New,7,1579,225.57,
31-08-2020,35,8,2020,SOUTH AMERICA,Retail,C4,Retirees,Couples,New,329,11451,34.81,
31-08-2020,35,8,2020,SOUTH AMERICA,Retail,F1,Young Adults,Families,Existing,854,31589,36.99,
31-08-2020,35,8,2020,EUROPE,Shopify,C2,Middle Aged,Couples,Existing,180,53567,297.59,
31-08-2020,35,8,2020,EUROPE,Shopify,F2,Middle Aged,Families,New,15,4023,268.2,
31-08-2020,35,8,2020,AFRICA,Retail,C2,Middle Aged,Couples,Existing,112361,4768214,42.44,
31-08-2020,35,8,2020,ASIA,Shopify,C2,Middle Aged,Couples,Existing,2269,396909,174.93,
31-08-2020,35,8,2020,AFRICA,Shopify,C4,Retirees,Couples,New,58,8562,147.62,
31-08-2020,35,8,2020,USA,Retail,F3,Retirees,Families,Existing,142898,8723663,61.05,
31-08-2020,35,8,2020,OCEANIA,Shopify,C3,Retirees,Couples,Existing,4703,957939,203.69,
31-08-2020,35,8,2020,SOUTH AMERICA,Shopify,Unknown,Unknown,Unknown,New,40,7625,190.63,
31-08-2020,35,8,2020,USA,Shopify,C1,Young Adults,Couples,New,164,20635,125.82,
31-08-2020,35,8,2020,SOUTH AMERICA,Shopify,C1,Young Adults,Couples,New,20,2265,113.25,
31-08-2020,35,8,2020,EUROPE,Retail,C1,Young Adults,Couples,Existing,14583,633917,43.47,
31-08-2020,35,8,2020,OCEANIA,Shopify,F2,Middle Aged,Families,New,452,72293,159.94,
31-08-2020,35,8,2020,SOUTH AMERICA,Retail,F2,Middle Aged,Families,New,382,13839,36.23,
31-08-2020,35,8,2020,SOUTH AMERICA,Retail,C3,Retirees,Couples,Existing,1503,68009,45.25,
31-08-2020,35,8,2020,CANADA,Retail,F1,Young Adults,Families,New,7033,269176,38.27,
31-08-2020,35,8,2020,SOUTH AMERICA,Retail,Unknown,Unknown,Unknown,Existing,329,10874,33.05,
31-08-2020,35,8,2020,CANADA,Retail,F1,Young Adults,Families,Existing,24153,1306932,54.11,
31-08-2020,35,8,2020,EUROPE,Shopify,Unknown,Unknown,Unknown,Existing,15,3507,233.8,
31-08-2020,35,8,2020,EUROPE,Retail,F3,Retirees,Families,Existing,18676,1144376,61.28,
31-08-2020,35,8,2020,SOUTH AMERICA,Shopify,C3,Retirees,Couples,New,19,3325,175,
31-08-2020,35,8,2020,CANADA,Shopify,Unknown,Unknown,Unknown,Existing,87,15074,173.26,
31-08-2020,35,8,2020,CANADA,Retail,C4,Retirees,Couples,Existing,29577,1473178,49.81,
31-08-2020,35,8,2020,OCEANIA,Retail,F1,Young Adults,Families,New,41631,1369115,32.89,
31-08-2020,35,8,2020,ASIA,Retail,F3,Retirees,Families,Existing,402652,20255591,50.31,
31-08-2020,35,8,2020,ASIA,Retail,Unknown,Unknown,Unknown,Guest,1936351,48773122,25.19,
31-08-2020,35,8,2020,ASIA,Shopify,C2,Middle Aged,Couples,New,413,55780,135.06,
31-08-2020,35,8,2020,EUROPE,Shopify,F3,Retirees,Families,New,4,554,138.5,
31-08-2020,35,8,2020,USA,Retail,C2,Middle Aged,Couples,Existing,43493,2126153,48.88,
31-08-2020,35,8,2020,OCEANIA,Retail,C2,Middle Aged,Couples,Existing,169157,6603287,39.04,
31-08-2020,35,8,2020,AFRICA,Shopify,Unknown,Unknown,Unknown,Guest,5893,1026838,174.25,
31-08-2020,35,8,2020,ASIA,Retail,C3,Retirees,Couples,Existing,245151,11086427,45.22,
31-08-2020,35,8,2020,CANADA,Shopify,C4,Retirees,Couples,Existing,119,19049,160.08,
31-08-2020,35,8,2020,ASIA,Shopify,F2,Middle Aged,Families,Existing,2983,564306,189.17,
31-08-2020,35,8,2020,SOUTH AMERICA,Shopify,F3,Retirees,Families,Existing,32,7331,229.09,
31-08-2020,35,8,2020,USA,Retail,F1,Young Adults,Families,Existing,40076,2272687,56.71,
31-08-2020,35,8,2020,SOUTH AMERICA,Shopify,C4,Retirees,Couples,Existing,7,1562,223.14,
31-08-2020,35,8,2020,CANADA,Shopify,Unknown,Unknown,Unknown,New,88,12836,145.86,
31-08-2020,35,8,2020,AFRICA,Retail,C4,Retirees,Couples,New,46545,1548637,33.27,
31-08-2020,35,8,2020,USA,Shopify,C2,Middle Aged,Couples,New,228,45518,199.64,
31-08-2020,35,8,2020,SOUTH AMERICA,Retail,C3,Retirees,Couples,New,1045,37786,36.16,
31-08-2020,35,8,2020,ASIA,Shopify,C4,Retirees,Couples,Existing,279,48624,174.28,
31-08-2020,35,8,2020,ASIA,Retail,Unknown,Unknown,Unknown,New,66042,2156778,32.66,
31-08-2020,35,8,2020,AFRICA,Retail,C4,Retirees,Couples,Existing,117018,5941067,50.77,
31-08-2020,35,8,2020,EUROPE,Retail,F1,Young Adults,Families,Existing,6769,395877,58.48,
31-08-2020,35,8,2020,AFRICA,Retail,F3,Retirees,Families,Existing,403810,22712143,56.24,
31-08-2020,35,8,2020,SOUTH AMERICA,Shopify,F1,Young Adults,Families,Existing,74,16149,218.23,
31-08-2020,35,8,2020,CANADA,Retail,F2,Middle Aged,Families,Existing,61517,3322211,54,
31-08-2020,35,8,2020,EUROPE,Retail,F3,Retirees,Families,New,1655,66422,40.13,
31-08-2020,35,8,2020,AFRICA,Shopify,F1,Young Adults,Families,New,201,27184,135.24,
31-08-2020,35,8,2020,ASIA,Shopify,Unknown,Unknown,Unknown,Guest,5794,979807,169.11,
31-08-2020,35,8,2020,AFRICA,Retail,F1,Young Adults,Families,New,23416,833470,35.59,
31-08-2020,35,8,2020,OCEANIA,Retail,F1,Young Adults,Families,Existing,144056,7178808,49.83,
31-08-2020,35,8,2020,OCEANIA,Retail,C4,Retirees,Couples,Existing,151673,7422165,48.94,
31-08-2020,35,8,2020,CANADA,Shopify,C1,Young Adults,Couples,Existing,585,91616,156.61,
31-08-2020,35,8,2020,CANADA,Retail,F2,Middle Aged,Families,New,18180,661362,36.38,
31-08-2020,35,8,2020,CANADA,Retail,C1,Young Adults,Couples,New,30402,786613,25.87,
31-08-2020,35,8,2020,SOUTH AMERICA,Shopify,C1,Young Adults,Couples,Existing,69,11755,170.36,
31-08-2020,35,8,2020,USA,Retail,C2,Middle Aged,Couples,New,26620,883573,33.19,
31-08-2020,35,8,2020,AFRICA,Retail,Unknown,Unknown,Unknown,New,58165,2232935,38.39,
31-08-2020,35,8,2020,CANADA,Shopify,C1,Young Adults,Couples,New,97,12438,128.23,
31-08-2020,35,8,2020,SOUTH AMERICA,Shopify,F2,Middle Aged,Families,Existing,37,8473,229,
31-08-2020,35,8,2020,EUROPE,Retail,C2,Middle Aged,Couples,New,2857,104677,36.64,
31-08-2020,35,8,2020,OCEANIA,Retail,C4,Retirees,Couples,New,65594,2016930,30.75,
